ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
11,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,3,Male,Moderately,Not Available,Not Available,Mostly,Mostly,Not Available,Mostly,Always,Always,Not Available,Not Available,Always,Not Available,Always,No,No,,No,No,,,,,,,,,Maybe,Yes,Always,Mostly,Never,Always,Never,Always,Nothing ,,"No, but I want to get involved",,Support from the supervisors and colleagues  ,Rarely,Approves with smile but have a passive aggressive blaming approach after we are back from vacation ,Insufficient,None,Sufficient,Sufficient,Not sure if any of these are provided or not. Never required so never asked or thought about it 
12,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,1,Female,Always,Moderately,Not Available,Not Available,Always,Always,Mostly,Moderately,Moderately,Not Available,Not Available,Always,Not Available,Always,Do not wish to answer,Do not wish to answer,,Not sure,Not sure,,not available,not available,I don't know.,not available,,,,Yes,Maybe,Mostly,Sometimes,Rarely,Always,Rarely,Always,none,none,"No, but I want to get involved",,,Mostly,Unwelcome,Sufficient,None,Sufficient,Sufficient,None
13,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,0,Male,Mostly,Moderately,Moderately,Moderately,Moderately,Moderately,Always,Mostly,Always,Mostly,Moderately,Moderately,Mostly,Mostly,No,No,,Yes,Yes,"Gender bias, Emotional harrassment","No, I did not bother.","No, I did not know whom to report.",I don't know.,I did not complain ,Somewhat comfortable,No,No,Yes,No,Sometimes,Mostly,Always,Mostly,Always,Sometimes,,"We have a good leader who supports women researchers. Our lab managers (2 males) are in charge of cleaning, arranging and making reagents so that’s all done by men.","No, but I want to get involved",I attend sessions for minority affairs committee members at conference meetings but that’s about it. ,Treating them as equals with men! ,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
14,Austria,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,6,0,Male,Moderately,Always,Not Available,Always,Always,Always,Always,Not Available,Always,Not Available,Always,Always,Always,Always,Yes,No,"Gender Bias, Sexual harrassment",No,Yes,"Gender bias, Sexual harrassment","No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",I don't know.,No actions were taken.,Not comfortable,No,No,Maybe,Yes,Always,Sometimes,Rarely,Always,Rarely,Always,,,Yes,I am the team lead of a women in STEM NGO,We need strong female leads. ,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
15,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",I am currently unemployed,I am currently unemployed,2,1,Female,Not Available,Rarely,Mostly,Mostly,Always,Always,Always,Rarely,Moderately,Moderately,Moderately,Moderately,Not Available,Moderately,Yes,Not sure,"Gender Bias, Emotional harrassment, Mental harrassment, Unhealthy competition",Not sure,Yes,Gender bias,"No, I was discouraged from responding to the incident.","Yes, I reported the issue.",Supervisor,I was told it was quite normal and required,Somewhat comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I was discriminated for speaking up",Yes,Maybe,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,It was divided amongst all of us.,,Yes,Always supported against discrimination. Have tried to help scientifically when boss was least bothered. In our lab discrimination was never against minority. It was clearly between males and females.,I think equal treatment is first and foremost. Then it is about work hours which may not tally between a male and female worker. Output should be measured. The boss should look into the work of all the students specially in PhD. It should not be out of preference.,Rarely,Disrespectful,Insufficient,None,Sufficient,None,None
16,Czech Republic,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,2,2,Male,Mostly,Moderately,Not Available,Not Available,Moderately,Not Available,Mostly,Moderately,Moderately,Not Available,Not Available,Moderately,Not Available,Moderately,No,No,,No,No,,,,I don't know.,,,,,Yes,Maybe,Mostly,Sometimes,Rarely,Mostly,Sometimes,Mostly,,,"No, I don’t have such opportunities",,,Always,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,Extension of work contract to cover the personal leave
17,United States,Sri Lanka,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,2,Female,Always,Always,Not Available,Always,Always,Not Available,Always,Mostly,Moderately,Not Available,Not Available,Always,Not Available,Always,Yes,Not sure,"Emotional harrassment, Mental harrassment, Racial",Do not wish to answer,Do not wish to answer,,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",Designated committee,,Not comfortable,,,Yes,Maybe,Sometimes,Mostly,Never,Always,Rarely,Always,Outcome of the work,,"No, I don’t have such opportunities",,Mutual respect ,Rarely,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
18,United States,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,2,Female,Moderately,Mostly,Not Available,Rarely,Always,Always,Mostly,Always,Rarely,Not Available,Not Available,Always,Not Available,Moderately,No,No,,No,No,,I havnt seen anyone gng through gender bias,Havnt seen gender bias where i have worked,"Supervisor, Human Resources",Strict actions are taken,Not experienced,Havnt reported,Not reported,Maybe,Yes,Always,Always,Always,Always,Sometimes,Mostly,Preparing lab reagents for the lab is helpful for the lab members and also for the research work.,,"No, I don’t have time for such activities",,Support from supervisor and lab colleagues is the only thing important.,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten), Free childcare clinic services"
19,United States,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,0,Male,Mostly,Mostly,Not Available,Mostly,Mostly,Not Available,Mostly,Not Available,Mostly,Not Available,Mostly,Mostly,Not Available,Moderately,No,No,,No,Yes,"Gender bias, Sexual harrassment, Physical harrassment, Emotional harrassment","Yes, but I responded later.","Yes, I reported the issue.","Supervisor, Human Resources, Designated committee",Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,Yes,,,Sometimes,Supportive,Sufficient,Sufficient,Insufficient,Insufficient,Flexible HR policy or other administrative support
20,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Female,Mostly,Moderately,Not Available,Moderately,Mostly,Always,Mostly,Always,Mostly,Not Available,Mostly,Always,Not Available,Mostly,Yes,No,"Gender Bias, Mental harrassment",Not sure,Not sure,,Not sure,Not sure,I don't know.,N/A,N/A,N/A,N/A,Maybe,Yes,Mostly,Mostly,Sometimes,Mostly,Sometimes,Sometimes,,,"No, I don’t have such opportunities",,,Mostly,Supportive,None,None,Sufficient,Sufficient,Nursing room(s)
21,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,5,2,Male,Always,Mostly,Not Available,Mostly,Always,Always,Mostly,Mostly,Always,Not Available,Not Available,Always,Not Available,Mostly,Yes,No,Gender Bias,Yes,No,Gender bias,"Yes, I immediately responded.",The issue was addressed immediately by my boss who witnessed the incident,Supervisor,,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Apologies offered",No,Yes,Yes,Rarely,Always,Mostly,Mostly,Mostly,Mostly,The need to get certain stuff done immediately.,Not a priority at that time.,Yes,Helping female colleagues during illnesses/emergencies in or off the lab.,"Help and support during pregnancy, illness, emergencies in family, provision for lactation rooms",Mostly,Supportive,Insufficient,None,Sufficient,None,"On-site or subsidized childcare (nursery, kindergarten), The onsite childcare is not subsidized "
22,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Freelance,2,2,Male,Mostly,Moderately,Moderately,Mostly,Always,Always,Mostly,Rarely,Moderately,Mostly,Mostly,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Sexual harrassment, Mental harrassment","Yes, but I responded later.","No, I was afraid of being misjudged.",I don't know.,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I left the job because of constant bullying and was labelled as incompetent worker inspite of working hard and being highly productive",Yes,Maybe,Mostly,Always,Rarely,Always,Sometimes,Mostly,i wasnt given any incentive but I personally like things in order,,"No, but I want to get involved",,"equal opportunity and equal treatment, nothing less nothing more",Rarely,Disrespectful,Insufficient,Insufficient,Insufficient,Insufficient,None
23,Switzerland,India,Female,30 - 40,Don't want to specify,"Science, Technology, Engineering, Mathematics [STEM]",Consultant,Industry,3,2,Female,Rarely,Mostly,Mostly,Not Available,Always,Mostly,Mostly,Mostly,Moderately,Rarely,Moderately,Always,Not Available,Always,Yes,Yes,"Gender Bias, gender pay gap",Not sure,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not bother to report.",I don't know.,,Not comfortable,,,Yes,Yes,Mostly,Mostly,Sometimes,Sometimes,Rarely,Rarely,,designated person to take care of these activities,Yes,member of women's professional group,"Equal treatment in all respects for everyone, supportive colleagues who pitch in when you are not available, awareness about unconscious biases",Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Logging time used for family reasons, work from home possibilities"
24,Germany,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,1,1,Female,Mostly,Mostly,Not Available,Not Available,Mostly,Mostly,Mostly,Mostly,Mostly,Not Available,Not Available,Mostly,Not Available,Mostly,No,No,,No,Yes,"Emotional harrassment, Mental harrassment","No, I did not bother.","No, I was afraid of being misjudged.",Designated committee,No actions were taken.,Not comfortable,No,No,Yes,Yes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Mostly,,,"No, but I want to get involved",,,Rarely,Neutral,Insufficient,Insufficient,Sufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
25,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Undergraduate,Research institution,3,1,Female,Moderately,Moderately,Rarely,Rarely,Moderately,Always,Always,Moderately,Mostly,Rarely,Rarely,Always,Always,Always,No,No,,No,No,,,,,,,,,Yes,Yes,Mostly,Always,Mostly,Always,Mostly,Always,,,"No, I don’t have such opportunities",,,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Nursing room(s), Changing platform for babies only in ladies toilets"
26,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Rarely,Moderately,Not Available,Mostly,Moderately,Always,Mostly,Not Available,Rarely,Not Available,Mostly,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",No,Yes,Gender bias,"Yes, but I responded later.","Yes, I reported the issue.","Human Resources, Designated committee",No actions were taken.,Somewhat comfortable,No,No,No,Maybe,Mostly,Sometimes,Rarely,Mostly,Rarely,Mostly,,,"No, but I want to get involved",,Being treated respectfully and taken seriously is imperative. People should learn to recognize a woman's authority over her own work.,Sometimes,Unwelcome,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support"
